fid,aspect,elv,flowAcc,planCurv,profCurv,riverProx,roadProx,slope,SPI,TPI,TRI,TWI,xcoord,ycoord,lithology_0,lithology_6,lithology_10,lithology_17,lithology_53,lithology_57,lithology_79,lithology_82,lithology_110,lithology_151,lithology_165,lithology_197,lithology_232,lithology_237,lithology_243,lithology_278,lithology_307,lithology_315,lithology_316,lithology_360,lithology_375,lithology_404,lithology_424,lithology_427,lithology_429,lithology_434,lithology_443,lithology_481,lithology_488,lithology_490,lithology_547,lithology_573,lithology_591,lithology_679,lithology_686,lithology_785,lithology_792,lithology_803,lithology_808,lithology_816,lithology_835,soil_0,soil_1,soil_2,soil_3,soil_4,soil_5,soil_6,soil_7,soil_8,soil_9,soil_10,soil_11,soil_12,soil_13,soil_15,soil_16,soil_17
39,0.017903998967395786,0.10422264859508684,0.0035676011472891562,0.49312673599263285,0.49312673599263285,0.0,0.20307438903507388,0.3660844056874373,0.258981256880783,0.5640690390656043,0.007851273648809281,0.7507878872012934,3352882.6742,502486.740200001,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
40,0.15559409923512657,0.04506603804899729,0.014119325551432658,0.4868126831712381,0.4868126831712381,0.28991199602472606,0.08673066204237226,0.18178415183562532,0.2591628126038843,0.5632303403566635,0.0035701891801675095,0.475171108143259,3356594.3078,502574.691199999,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
41,0.9248128510896604,0.059126500580684895,0.0028124708561884835,0.49380476936416917,0.49380476936416917,0.3014481630247521,0.17386655122827152,0.29963187208077796,0.2590153298840563,0.5661184887995461,0.006234647281165625,0.5745870929053578,3355767.0301,502701.663799998,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
42,0.10487285531163784,0.04709565359217309,0.04380745215354913,0.47865616637730496,0.47865616637730496,0.29636358252304706,0.13008096034639235,0.09421854735267643,0.25852569958052135,0.5624969555645096,0.0019742001965611976,0.852123554134405,3356105.1082,502762.412500002,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
43,0.8806566446976855,0.0606813539915631,0.002227071998092233,0.4895582660151558,0.4895582660151558,0.06428868669583293,0.003954577630580678,0.3011340462083687,0.2589760939900653,0.5611408829377811,0.006746928590054782,0.737536255670209,3369862.839,502847.962999998,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
44,0.48955768425371726,0.09451508920090058,0.01189258683611168,0.48649764768086345,0.48649764768086345,0.0,0.09257428575962844,0.16052569819900864,0.25870456923995194,0.562610905553441,0.003190802302047942,0.811009620660524,3352815.8116,503331.011500005,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
45,0.7658091869556136,0.11378903230935529,0.00021062854661678995,0.49904349388575314,0.49904349388575314,0.12083121071552043,0.0,0.21725775984777249,0.2590597760180842,0.5686347026038543,0.005259271565608768,0.269547591041709,3369850.2207,505927.544799999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
46,0.013476822465838416,0.2054943361710533,0.0016469398212873004,0.4932321971793735,0.4932321971793735,0.1480668569238429,0.3696631289521408,0.4750703839099428,0.2589889960384588,0.5664173960296368,0.011194213353076183,0.7169787589048802,3366840.9342,505970.042299999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
47,0.5379670244891643,0.0739503721382728,0.01230648488813852,0.489706631932767,0.489706631932767,0.14853160188709952,0.0,0.05515300064158832,0.2587045819151727,0.5622586365910511,0.002066065711358673,0.7768659292266455,3359481.6829,507742.722800003,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48,0.6776339036676936,0.3101502650168716,0.003149021883248125,0.49898094792108716,0.49898094792108716,0.09490070361771127,0.48176106750424547,0.4956330143780119,0.25901451815671483,0.564886652222472,0.012247448033568899,0.6354448604322327,3363281.4752,508170.362900004,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
49,0.624256745414744,0.3712166761876592,0.0002640111802494421,0.4931950567160357,0.4931950567160357,0.08915921704052025,0.5095883844419558,0.4362102026811147,0.25901905940327175,0.5993164655660241,0.009908809437486574,0.3686375392100022,3363450.0582,508354.394400001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
50,0.651505245256208,0.3300001393315854,0.017049412431473617,0.4938373692341072,0.4938373692341072,0.07554282038367942,0.4753724719616055,0.3561547931859338,0.25910291205295,0.5646085164965761,0.008482831837370853,0.5263714473061214,3363305.6645,509026.590500002,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
51,0.48819100973089413,0.19825278191902213,0.0018899581273593255,0.4901997595698038,0.4901997595698038,0.09360947989202817,0.32557489243875853,0.3138792753468576,0.2589821519130885,0.5641026199675702,0.006527545495592794,0.7182004052090082,3361571.6232,509138.0521,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
