fid,aspect,elv,flowAcc,planCurv,profCurv,riverProx,roadProx,slope,SPI,TPI,TRI,TWI,xcoord,ycoord,lithology_0,lithology_6,lithology_10,lithology_11,lithology_17,lithology_53,lithology_57,lithology_79,lithology_82,lithology_110,lithology_151,lithology_165,lithology_197,lithology_229,lithology_232,lithology_237,lithology_243,lithology_278,lithology_298,lithology_307,lithology_315,lithology_316,lithology_360,lithology_404,lithology_424,lithology_427,lithology_429,lithology_434,lithology_443,lithology_488,lithology_490,lithology_547,lithology_570,lithology_573,lithology_591,lithology_629,lithology_679,lithology_685,lithology_686,lithology_785,lithology_792,lithology_803,lithology_808,lithology_816,lithology_835,soil_-99999,soil_0,soil_1,soil_2,soil_3,soil_4,soil_5,soil_6,soil_7,soil_8,soil_9,soil_10,soil_11,soil_12,soil_13,soil_14,soil_15,soil_16,soil_17
11,0.005864590875102364,0.026849334814619333,0.0004745154131552006,0.4963731046034032,0.4963731046034032,0.238495515779276,0.2380971051074909,0.1462171217797179,0.2589913995190043,0.5650015177719759,0.0029591485780638143,0.6773145452556903,3402728.63708717,630808.803228619,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,0.9660653033126397,0.05556796676695813,0.002661114209931891,0.48428094405169125,0.48428094405169125,0.34243145108092204,0.17440539079120926,0.02098721008293605,0.2589521633195459,0.5637875442303966,0.0004887265402291764,0.75993705290665,3714917.12142873,523170.291591806,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13,0.6926824140217125,0.576646714930035,0.07891682088549437,0.4847705431968355,0.4847705431968355,0.8984047865071806,0.16628046738791893,0.2176209164596221,0.25885243287470455,0.562666689376334,0.004418760149809781,0.8816999218000705,3534501.97100303,520418.032858809,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
14,0.19139657595914328,0.500914670878307,0.0033987846530291123,0.496807410903238,0.496807410903238,0.2846050823415211,0.1908877506632042,0.19048770591825787,0.25820298807897163,0.5633480218329484,0.003726705557091255,0.7525729767283889,3593986.8712398,502380.789103442,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,0.21193247039952778,0.6237394384609278,0.0004193974084183875,0.5006919055418191,0.5006919055418191,0.40829024700048827,0.07129215956831765,0.2817691611990584,0.2590174287684254,0.5673883036726303,0.006122439221723842,0.399170602357907,3539863.24885074,410392.485288519,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,0.5821689265833683,0.13590065780900268,0.0013044879604779153,0.4811530051555113,0.4811530051555113,0.04527812231864017,1.7963579580655211,0.196498096916385,0.2590047113025607,0.5644490348833676,0.0038561119706934876,0.7005493075962608,3668346.51263461,539069.073515314,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
17,0.07942502259351489,0.7954786900536116,0.00016738688658317076,0.5194258263817637,0.5194258263817637,0.09542664136538334,0.1099486371352194,0.3343220905155486,0.25898486737921333,0.5720315308360672,0.009217154678727607,0.6711613995902002,3556134.17005243,392941.962713447,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18,0.8908550098258461,0.22263464143836104,0.0019612015779130695,0.49253661352109834,0.49253661352109834,0.10023776529512654,0.08780587468630396,0.3122630343087599,0.2589886399790364,0.56338481842479,0.00854144871670136,0.715159102308891,3418435.77347076,591525.616378802,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
19,0.14820581844478603,0.47349232979622347,0.0009960854725880768,0.4976009616309377,0.4976009616309377,0.1907070508147482,0.17332602208748887,0.28530658672517994,0.2590512022755979,0.5668544120296486,0.00588038523654113,0.33026160709170604,3416708.85364158,529851.414583574,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20,0.40847591692368646,0.7822268629657466,0.0009378633112693451,0.4963887307032812,0.4963887307032812,0.3448754548982636,0.16333889727408912,0.11977988455138856,0.25897482991429244,0.565394701138419,0.0023476677007795116,0.6969190509763328,3517389.0867234,545055.391703217,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
