fid,aspect,elv,flowAcc,lithology,planCurv,profCurv,riverProx,roadProx,slope,soil,SPI,TPI,TRI,TWI,xcoord,ycoord
86,139.027130126953,1855.685546875,16.379919052124,686,-0.171716436743736,-0.171716436743736,1612.76159667969,11.4017543792725,1.74539995193481,10,-38.7411003112793,-6.23854207992554,2.73114371299744,10.1654949188232,3529814.69647873,559728.757169684
87,249.656829833984,13.0628538131714,1.3932968378067,17,0.0259413253515959,0.0259413253515959,2232.33056640625,21.931713104248,4.2290678024292,10,10.6286039352417,1.50228428840637,1.43807256221771,-1.52617931365967,3533219.60963192,348627.824891997
88,60.1661720275879,2565.04931640625,1.14874696731567,490,0.0300241820514202,0.0300241820514202,7391.94189453125,3.60555124282837,16.8606834411621,10,-0.855900585651398,17.3848838806152,7.58900690078735,7.15720081329346,3556236.07579976,425167.701254177
89,206.848480224609,26.3311195373535,7.57914113998413,629,-0.0188194047659636,-0.0188194047659636,2640.68188476562,13.0384044647217,2.64090371131897,6,-0.716526508331299,-1.70723938941956,1.00443017482758,8.87629222869873,3593284.89522863,664322.111053431
90,341.981658935547,776.615661621094,11.0521059036255,686,-0.00122716638725251,-0.00122716638725251,15743.4560546875,56.612720489502,19.760892868042,9,-480.000671386719,-0.926231563091278,7.22268867492676,9.33727931976318,3601647.16119949,594873.504903514
91,333.829711914062,573.404846191406,12.4937114715576,490,-0.00257600727491081,-0.00257600727491081,17719.234375,46.0977210998535,8.66026401519775,8,2.62748837471008,1.05733013153076,3.45873594284058,5.17853546142578,3503590.04740893,497149.143005123
92,172.833145141602,5.3754768371582,2.25137186050415,404,-0.00729992846027017,-0.00729992846027017,19881.017578125,53.3385429382324,1.38164675235748,13,7.10361337661743,-0.151401355862617,0.470089316368103,-0.0922981649637222,3526064.76435466,670107.273615751
93,82.1653671264648,163.241546630859,10.4565515518188,686,-0.0225274879485369,-0.0225274879485369,6138.57470703125,90.022216796875,5.29658555984497,7,-1.8227471113205,-3.72402453422546,2.04292488098145,9.05643844604492,3666833.19281952,584169.079275134
94,60.9281921386719,1321.65881347656,90.1844253540039,490,-0.000935767602641135,-0.000935767602641135,41757.3828125,4.4721360206604,0.822644472122192,8,-169.301361083984,-1.70113563537598,0.499035537242889,10.9209508895874,3535234.38179015,515131.356894733
95,55.6985740661621,1938.53552246094,70.4369201660156,591,-0.00830937176942825,-0.00830937176942825,17484.544921875,53.7121963500977,18.8940181732178,11,-573.048156738281,-4.81574964523315,6.76380395889282,11.083327293396,3475600.8073727,604035.312636579
96,8.54660034179688,693.558532714844,2.05423903465271,490,0.00595172215253115,0.00595172215253115,2846.84033203125,73.2461624145508,5.60800313949585,10,-1.24861836433411,0.97789865732193,2.08391976356506,7.68735265731812,3571812.76076769,456246.664148657
97,232.933731079102,995.851745605469,1.38598167896271,679,-0.0083246324211359,-0.0083246324211359,31433.04296875,13.0384044647217,2.30931758880615,17,-2.58865785598755,1.19149363040924,0.870851278305054,7.38844633102417,3521281.39395822,522227.897437555
98,182.951278686523,1253.65393066406,7.82319307327271,490,-0.00655918754637241,-0.00655918754637241,997.246154785156,46.7546806335449,12.6000499725342,8,-10.4362163543701,-3.59252262115479,4.39705228805542,9.22132968902588,3453630.97945111,569551.669105464
99,305.666961669922,2165.7939453125,7.82021379470825,490,-0.0079544298350811,-0.0079544298350811,6433.23388671875,6.32455539703369,18.8051815032959,10,-36.2547149658203,-8.02038288116455,6.9985089302063,8.87522506713867,3552327.07380489,434942.375585962
